2025-04-12 16:23:16,280 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 16:23:16,901 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 16:23:16,951 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 16:23:17,005 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 16:23:17,043 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 16:23:17,067 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 16:23:17,084 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 16:23:17,092 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 16:23:17,097 | [ERROR] | plugin_manager | Failed to load 'task_scheduler': No module named 'schedule'
2025-04-12 16:23:17,135 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 16:23:17,317 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 16:23:17,349 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 16:23:17,354 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 16:23:17,400 | [ERROR] | plugin_manager | Failed to load 'ai_agent': cannot import name 'MemoryManager' from 'core.memory' (/home/shaurya/Desktop/AI_Terminal/core/memory.py)
2025-04-12 16:23:17,413 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 16:23:17,451 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 16:23:17,460 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 16:23:17,493 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 16:23:17,500 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 16:27:37,772 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 16:27:38,084 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 16:27:38,085 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 16:27:38,086 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 16:27:38,087 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 16:27:38,087 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 16:27:38,088 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 16:27:38,088 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 16:27:38,089 | [ERROR] | plugin_manager | Failed to load 'task_scheduler': No module named 'schedule'
2025-04-12 16:27:38,098 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 16:27:38,129 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 16:27:38,130 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 16:27:38,131 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 16:27:38,132 | [ERROR] | plugin_manager | Failed to load 'ai_agent': cannot import name 'MemoryManager' from 'core.memory' (/home/shaurya/Desktop/AI_Terminal/core/memory.py)
2025-04-12 16:27:38,134 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
